User_ID,Transaction_ID,Date,Product_ID,Quantity
#14,ye2z9,1/1/2023,A,3
#17,2yb1J,1/1/2023,E,3
#1,EhrXU,1/1/2023,C,4
#5,9tNQZ,1/1/2023,D,2
#17,Mv68i,1/2/2023,A,3
#16,HR2NA,1/2/2023,E,2
#6,opupp,1/2/2023,A,2
#16,ocefr,1/3/2023,E,1
#12,aFHmx,1/3/2023,B,4
#8,wNOL4,1/3/2023,C,3
#5,f2W6h,1/4/2023,C,4
#2,vdMRh,1/4/2023,C,2
#10,hnBxR,1/4/2023,D,2
#3,dmuSq,1/5/2023,D,2
#16,uphKe,1/5/2023,B,4
#17,D7wOJ,1/5/2023,D,4
#3,sZ00H,1/6/2023,A,3
#19,UDh5n,1/7/2023,D,3
#15,aoq8V,1/7/2023,B,2
#8,H6rWS,1/7/2023,A,4
#6,q4RSP,1/7/2023,C,4
#19,hbg1P,1/8/2023,D,3
#17,2kdiQ,1/8/2023,C,1
#10,PT8Ge,1/9/2023,A,4
#8,hAXQ2,1/10/2023,D,4
#13,WCcJ4,1/10/2023,C,3
#1,hyXzF,1/10/2023,D,3
#12,f8zUX,1/11/2023,B,1
#4,mDYuC,1/11/2023,E,1
#8,DFZej,1/12/2023,E,1
#6,ius35,1/12/2023,D,1
#3,F0ZlH,1/12/2023,E,
#3,luPb1,1/12/2023,D,2
#17,W4BlP,1/13/2023,C,1
#12,M9vOL,1/13/2023,E,
#1,Swe6T,1/13/2023,B,4
#16,Ff4bk,1/14/2023,E,4
#2,Gs3Of,1/14/2023,A,3
#9,04uHr,1/15/2023,E,3
#10,RLfJZ,1/15/2023,B,1
#6,J6CVe,1/15/2023,D,1
#8,u5HAR,1/16/2023,C,1
#6,HQ8gE,1/17/2023,D,2
#12,hyshQ,1/17/2023,B,1
#1,emwIw,1/17/2023,D,4
#17,nrPt9,1/18/2023,C,4
#15,hlM5s,1/18/2023,D,
#14,KhX6O,1/19/2023,C,
#2,G2L8Z,1/20/2023,E,
#14,yt6j0,1/20/2023,B,3
#15,424Ie,1/20/2023,D,4
#9,WY6QV,1/20/2023,E,3
#11,qpNgj,1/21/2023,A,4
#10,wKDLI,1/21/2023,D,3
#13,XEDNx,1/21/2023,B,1
#7,M0mEd,1/22/2023,A,4
#10,FLTVg,1/22/2023,A,3
#19,dXXRB,1/22/2023,C,1
#11,P8Adq,1/23/2023,E,2
#7,SOIai,1/23/2023,A,
#4,XWFUm,1/23/2023,E,
#8,8Mg29,1/24/2023,D,
#18,a8Hys,1/24/2023,C,3
#4,zGUZh,1/24/2023,E,4
#6,XuW1w,1/24/2023,E,3
#6,81Fni,1/25/2023,E,3
#14,PMI8j,1/25/2023,B,3
#14,hgOSY,1/25/2023,D,2
#12,oRCMy,1/26/2023,E,2
#16,3GlOT,1/26/2023,D,2
#14,tg3I1,1/26/2023,E,2
#16,ytS9q,1/26/2023,D,1
#4,SCKar,1/27/2023,B,2
#19,nMil2,1/27/2023,C,2
#9,sPVfi,1/28/2023,D,2
#2,DUiuB,1/29/2023,B,4
#8,57C9Q,1/29/2023,D,2
#1,nnTMv,1/29/2023,B,3
#15,wcyNv,1/30/2023,B,1
#13,CR0Yb,1/30/2023,E,4
#4,t6rQu,1/30/2023,E,2
#3,AFlIK,1/30/2023,B,4
#1,bgD2B,1/31/2023,D,3
#2,BRwx6,1/31/2023,A,2
#16,p7jsD,1/31/2023,E,2
#9,Jc3sc,1/31/2023,B,3
#18,fmSaM,2/1/2023,B,3
#14,fskwN,2/2/2023,D,4
#6,ZobLy,2/2/2023,E,3
#5,HbCBQ,2/3/2023,D,1
#9,RaX9J,2/3/2023,B,2
#15,sFXE7,2/3/2023,E,3
#15,mHguw,2/3/2023,B,4
#1,qInrP,2/4/2023,B,3
